"species","K"
"Androsace_obtusifolia",4
"Arabis_alpina",5
"Campanula_barbata",5
"Carex_firma",2
"Carex_sempervirens",4
"Cerastium_uniflorum",5
"Cirsium_spinosissimum",5
"Dryas_octopetala",4
"Gentiana_nivalis",5
"Geum_montanum",5
"Geum_reptans",5
"Gypsophila_repens",4
"Hedysarum_hedysaroides",5
"Hornungia_alpina",5
"Hypochaeris_uniflora",4
"Juncus_trifidus",5
"Ligusticum_mutellinoides",1
"Loiseleuria_procumbens",5
"Luzula_alpinopilosa",5
"Peucedanum_ostruthium",5
"Phyteuma_betonicifolium",5
"Phyteuma_hemisphaericum",5
"Ranunculus_alpestris",5
"Rhododendron_ferrugineum",5
"Saxifraga_stellaris",5
"Sesleria_caerulea",2
"Trifolium_alpinum",5
