"Species","Primer","Bayescan_fst","Bayescan_Probability","Bayescan_alpha","Bayescan_qvalue","Bayescan_Type","PCadapt_K","PCadapt_chi2_statistic","PCadapt_pvalue","PCadapt_qvalue","PCadapt_Type","Overall_Type"
"\textit{Androsace obtusifolia}","AAC_CAN_83.0",0.17945,0.108555333333333,-0.073039,0.761726666666667,"neutral",28,NA,NA,NA,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_85.0",0.184253333333333,0.072748,-0.0182306666666667,0.880273333333333,"neutral",28,31.2064100204038,0.307991505926262,0.809312614277103,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_89.0",0.189366666666667,0.068347,0.0181093333333333,0.88342,"neutral",28,18.9194354752779,0.900603147126268,0.9795777608851,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_91.0",0.188573333333333,0.0680803333333333,0.0133823333333333,0.88498,"neutral",28,16.0351419212607,0.965296045504883,0.9795777608851,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_100.0",0.18003,0.10662,-0.0728186666666667,0.77247,"neutral",28,NA,NA,NA,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_102.0",0.185216666666667,0.078749,-0.014815,0.870053333333333,"neutral",28,NA,NA,NA,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_108.0",0.189893333333333,0.0728146666666667,0.0204083333333333,0.879993333333333,"neutral",28,NA,NA,NA,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_124.0",0.185286666666667,0.084617,-0.0153050333333333,0.858956666666667,"neutral",28,NA,NA,NA,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_125.0",0.183663333333333,0.074815,-0.0208853333333333,0.87803,"neutral",28,95.5669446334689,2.61707835396429e-09,1.42932740870357e-08,"adaptive","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_128.0",0.176496666666667,0.113686666666667,-0.099149,0.711616666666667,"neutral",28,23.7189364324055,0.696280697956124,0.9795777608851,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_130.0",0.200953333333333,0.106486666666667,0.0802396666666667,0.775866666666667,"neutral",28,14.8894994648497,0.9795777608851,0.9795777608851,"neutral","neutral"
"\textit{Androsace obtusifolia}","AAC_CAN_132.0",0.186373333333333,0.0922183333333333,-0.013899,0.84158,"neutral",28,NA,NA,NA,"neutral","neutral"
