Cell;longitude;latitude;ACA_AAC_1.0;ACA_AAC_2.0;ACA_AAC_4.0;ACA_AAC_5.0;ACA_AAC_6.0;ACA_AAC_9.0;ACA_AAC_10.0;ACA_AAC_11.0;ACA_AAC_12.0;ACA_AAC_13.0;ACA_AAC_14.0;ACA_AAC_16.0;ACA_AAC_17.0;ACA_AAC_18.0;ACA_AAC_20.0;ACA_AAC_22.0;ACA_ACG_2.0;ACA_ACG_3.0;ACA_ACG_4.0;ACA_ACG_6.0;ACA_ACG_7.0;ACA_ACG_10.0;ACA_ACG_11.0;ACA_ACG_12.0;ACA_ACG_13.0;ACA_ACG_14.0;ACA_ACG_15.0;ACA_ACG_16.0;ACA_ACG_17.0;ACA_ACG_18.0;ACA_AGC_1.0;ACA_AGC_2.0;ACA_AGC_3.0;ACA_AGC_4.0;ACA_AGC_5.0;ACA_AGC_6.0;ACA_AGC_7.0;ACA_AGC_8.0;ACA_AGC_9.0;ACA_AGC_10.0;ACA_AGC_11.0;ACA_AGC_12.0;ACA_AGC_13.0;ACA_AGC_14.0;ACA_AGC_15.0;ACA_AGC_16.0;ACA_AGC_17.0;ACA_AGC_18.0;ACA_AGC_19.0;ACA_AGC_20.0;ACA_AGC_23.0;ACA_AGC_25.0;ACA_AGC_26.0;ACA_AGC_27.0;ACA_AGC_28.0;ACA_AGC_29.0
648-1;20.0591;49.2472;0;0;0;1;1;1;0;1;0;0;0;1;0;0;1;1;1;1;0;0;1;1;1;1;0;0;0;0;1;1;1;0;0;1;1;0;1;0;1;1;0;0;1;0;0;1;1;0;0;1;0;1;0;0;1;0
648-2;20.0591;49.2472;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;1;1;1;0;0;1;0;1;0;0;0;0;1;1;0;0;1;1;0;1;1;0;0;1;1;1;0
648-3;20.0591;49.2472;1;1;0;1;0;1;0;0;0;1;0;0;0;1;1;1;1;1;0;0;1;1;1;1;0;0;0;1;0;1;0;0;0;0;1;1;1;1;1;0;1;0;1;0;0;0;1;NA;0;0;1;1;1;1;0;0
745-1;19.0305;49.188;0;0;0;0;1;0;1;1;1;1;0;0;0;1;1;1;1;1;0;0;1;1;1;0;0;1;1;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;0
745-2;19.0305;49.188;0;0;0;0;0;1;0;0;0;1;1;1;1;1;0;1;0;1;0;0;1;1;1;0;0;0;0;1;0;0;1;0;1;0;1;1;1;0;0;1;1;0;1;0;0;0;1;0;0;1;0;0;1;1;1;0
745-3;19.0305;49.188;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;1;0;1;1;0;0;1;1;0;0;1;1;0;1;1;0;0;0;0;1;1;1;0;1;0;0;1;1;0;0;1;1;0;0;1;0;1;1;1;1;1
747-1;19.8325;49.1977;0;0;0;0;1;0;1;0;1;1;0;1;1;1;1;0;1;1;0;0;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1;1;1;0;1;0;0;0;1;0;0;1;1;0;0;0;1;1;0;1;1;1
747-2;19.8325;49.1977;1;0;0;1;1;0;0;0;1;1;0;0;1;1;0;1;1;1;0;0;1;1;0;0;1;1;0;1;0;0;1;1;0;0;1;1;1;0;1;0;0;0;1;0;0;1;1;1;0;0;0;1;1;1;1;1
747-3;19.8325;49.1977;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;1;0;1;0;1;1;1;0;1;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0
846-1;19.6463;48.9261;0;0;0;1;0;1;0;0;1;1;0;1;1;0;1;1;1;0;0;0;1;1;1;1;0;0;1;1;0;1;1;1;0;0;1;1;1;0;1;0;0;1;1;0;1;1;0;1;1;1;1;1;1;1;1;0
846-2;19.6463;48.9261;0;0;0;1;0;1;1;0;0;1;0;1;1;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;1;1;0;1;0;0;1;1;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;1;1;0
P62-1;24.9538;45.4669;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;0;1;1;0;0;1;1;0;1;1;1;1;0;1;0;0;0;1;0;0;1;0;1;1;1;0;1;0;1;0;1
P62-3;24.9538;45.4669;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0;0;1;1;0;0;1;1;0;1;1;1;1;0;1;1;0;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0
P64-1;25.4561;45.4452;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0;1;0;1;0;0
P64-2;25.4561;45.4452;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;1;0;1;1;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0
P64-3;25.4561;45.4452;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;0;1;0;1;1;NA;0;1;0;0;1;1;1;1;0
Q58-2;23.5041;45.3825;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;1;0;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0
Q58-3;23.5041;45.3825;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;1;1;0;1;0;0;1;1;1;0;0;1;1;0;0;1;1;0;0;1;0;1;0;0;1;0;1;1;0
