Cell;longitude;latitude;ACC_CAT_52.1;ACC_CAT_60.4;ACC_CAT_66.5;ACC_CAT_68.9;ACC_CAT_76.7;ACC_CAT_84.4;ACC_CAT_97.0;ACC_CAT_101.3;ACC_CAT_108.2;ACC_CAT_115.5;ACC_CAT_120.7;ACC_CAT_127.0;ACC_CAT_137.0;ACC_CAT_148.5;ACC_CAT_149.8;ACC_CAT_165.8;ACC_CAT_172.1;ACC_CAT_192.1;ACC_CAT_199.7;ACC_CAT_205.7;ACC_CAT_220.2;ACC_CAT_226.6;ACC_CAT_228.0;ACC_CAT_229.2;ACC_CAT_239.6;ACC_CAT_246.5;ACC_CAT_254.0;ACC_CAT_263.9;ACC_CAT_269.3;ACC_CAT_289.8;ACC_CAT_297.8;ACC_CAT_302.4;ACC_CAT_327.1;ACC_CAT_351.1;ACC_CAT_359.8;ACC_CAT_369.0;ACC_CAT_377.6;ACC_CAT_382.6;ACC_CAT_458.9;ACC_CAT_460.5;ACC_CAT_466.4;ACT_CAG_59.6;ACT_CAG_63.6;ACT_CAG_80.0;ACT_CAG_89.8;ACT_CAG_108.2;ACT_CAG_114.8;ACT_CAG_133.7;ACT_CAG_144.4;ACT_CAG_148.6;ACT_CAG_155.6;ACT_CAG_174.5;ACT_CAG_196.7;ACT_CAG_201.6;ACT_CAG_207.7;ACT_CAG_212.6;ACT_CAG_218.3;ACT_CAG_231.1;ACT_CAG_234.1;ACT_CAG_240.6;ACT_CAG_250.8;ACT_CAG_251.8;ACT_CAG_267.9;ACT_CAG_291.7;ACT_CAG_293.1;ACT_CAG_295.8;ACT_CAG_300.2;ACT_CAG_303.4;ACT_CAG_337.7;ACT_CAG_345.4;ACT_CAG_376.6;ACT_CAG_392.3;ACT_CAG_411.2;ACT_CAG_422.0;ACT_CAG_448.8;ACT_CAG_474.8;ACT_CAG_518.2;AGA_CAC_77.0;AGA_CAC_78.9;AGA_CAC_97.9;AGA_CAC_109.8;AGA_CAC_154.7;AGA_CAC_169.1;AGA_CAC_198.4;AGA_CAC_209.5;AGA_CAC_226.2;AGA_CAC_254.8;AGA_CAC_267.2;AGA_CAC_282.0;AGA_CAC_292.1;AGA_CAC_293.1;AGA_CAC_299.6;AGA_CAC_303.3;AGA_CAC_305.7;AGA_CAC_318.6;AGA_CAC_358.2;AGA_CAC_393.2;AGA_CAC_401.2;AGA_CAC_418.6;AGA_CAC_527.7
648-1;20.0233;49.2241;1;1;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;1;0;1;1;0;1;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;1;1;0;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0
648-3;20.0233;49.2241;1;1;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;1;1;0;1;0;1;0;1;1;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;0;1;0;1;1;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0
648-4;20.0233;49.2241;1;1;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;1;1;1;1;0;0;1;0;1;0;1;1;0;1;0;1;1;0;0;0;0;0;1;1;0;1;0;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
747-1;19.6947;49.1988;1;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;1;0;1;0;1;0;1;1;0;1;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0
747-2;19.6947;49.1988;1;1;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0
747-4;19.6947;49.1988;1;1;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
748-1;20.165;49.1774;1;1;0;1;0;1;0;0;1;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;1;1;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;1;1;1;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0
748-2;20.165;49.1774;1;1;0;0;0;1;1;1;1;0;1;1;0;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;1;1;1;1;1;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;1;0;1;1;1;1;0;0;1;1;1;1;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0
748-3;20.165;49.1774;1;1;0;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;0;0;1;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;1;0;1;1;0;1;1;0;1;1;1;0;0;0;1;0;1;0;0;0;0
846-1;19.6305;48.9391;1;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;1;1;0;0;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0
846-3;19.6305;48.9391;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0
846-4;19.6305;48.9391;1;1;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;1;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;1;0;0;1;1;0;1;0;1;1;1;0;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0
848-1;20.1169;48.8883;1;1;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0
848-2;20.1169;48.8883;1;1;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;1;0;1;1;1;0;1;0;1;1;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
848-4;20.1169;48.8883;1;1;0;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;1;0;1;0;1;1;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0
C61-1;24.5519;48.1186;0;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
C61-2;24.5519;48.1186;0;1;1;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;0;1;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;1;1;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0
C61-3;24.5519;48.1186;0;1;0;1;0;0;1;0;0;1;0;1;0;1;1;0;0;0;1;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;1;1;0;1;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0
D61-1;24.3334;47.9274;0;1;0;1;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;1;1;0;0;1;1;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0;1;1;1;0;1;0;1;1;0;0;1;0;0;0;1;0;0;0;1;0
D61-3;24.3334;47.9274;0;1;0;1;0;1;0;0;1;1;1;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;1;1;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0
D61-4;24.3334;47.9274;0;1;0;1;0;1;1;0;0;0;1;1;0;1;0;0;0;1;1;0;1;1;0;1;0;0;1;0;1;0;1;0;0;1;1;0;0;0;0;0;0;1;0;1;0;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0
F61-1;24.6436;47.5965;0;1;0;1;0;1;0;0;1;1;1;1;0;1;1;0;0;1;0;1;1;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0
F61-2;24.6436;47.5965;0;1;0;1;0;1;0;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1;0;0;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;0;1;1;1;1;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;1;0;1;1;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0
F61-4;24.6436;47.5965;0;1;0;1;0;0;1;0;0;0;1;1;0;1;1;0;0;1;1;0;1;1;0;0;1;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0;0;1;1;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;1;0
F62-1;24.8799;47.5247;0;1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;1;0;1;0;0;0;1;1;0;1;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0
F62-2;24.8799;47.5247;0;1;0;1;0;0;1;0;1;1;1;1;0;0;1;1;0;1;0;1;1;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;1;0;0;0;1;1;1;0;1;0;1;1;0;1;0;1;0;1;0;0;0;0;1;1;0;0;0;1;0
F62-3;24.8799;47.5247;0;1;0;1;0;0;1;0;1;1;1;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;1;1;0;1;0;0;1;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;1;0;1;0;1;0;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0
H63-1;25.2416;47.0971;0;1;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0
