Cell;longitude;latitude;AAT_ACA_65.4;AAT_ACA_119.6;AAT_ACA_140.1;AAT_ACA_143.0;AAT_ACA_146.3;AAT_ACA_177.0;AAT_ACA_182.2;AAT_ACA_193.7;AAT_ACA_194.9;AAT_ACA_199.1;AAT_ACA_214.5;AAT_ACA_217.6;AAT_ACA_237.9;AAT_ACA_283.7;AAT_ACA_285.5;AAT_ACA_286.6;AAT_ACA_364.5;AAT_ACA_402.7;AAT_ACC_67.0;AAT_ACC_79.4;AAT_ACC_80.9;AAT_ACC_92.3;AAT_ACC_126.7;AAT_ACC_132.2;AAT_ACC_159.7;AAT_ACC_160.8;AAT_ACC_165.2;AAT_ACC_172.7;AAT_ACC_190.1;AAT_ACC_206.4;AAT_ACC_241.0;AAT_ACC_243.0;AAT_ACC_303.1;AAT_ACC_387.7;AAT_ACC_483.9;AAT_ACC_497.3;AAT_ACC_500.5;AAT_AGT_109.5;AAT_AGT_240.8;AAT_AGT_244.9;AAT_AGT_263.3;AAT_AGT_270.6;AAT_AGT_349.1;AAT_AGT_356.5;AAT_AGT_358.5;AAT_AGT_371.1;AAT_CTG_53.5;AAT_CTG_77.7;AAT_CTG_79.0;AAT_CTG_118.8;AAT_CTG_131.0;AAT_CTG_174.5;AAT_CTG_246.1;AAT_CTG_251.4;AAT_CTG_268.3;AAT_CTG_393.6;AAT_CTG_396.5;ACT_ACG_160.6;ACT_ACG_171.3;ACT_ACG_173.4;ACT_ACG_175.4;ACT_ACG_177.5;ACT_ACG_205.2;ACT_ACG_220.4;ACT_ACG_241.0;ACT_ACG_245.0;ACT_ACG_253.2;ACT_ACG_255.1;ACT_ACG_257.2;ACT_ACG_331.2;ACT_ACG_338.8;ACT_CTG_73.7;ACT_CTG_84.3;ACT_CTG_99.6;ACT_CTG_151.3;ACT_CTG_251.8;ACT_CTG_271.4;ACT_CTG_312.5;ACT_CTG_332.5;ACT_CTG_345.4;ACT_CTG_422.6;ATG_CAC_48.3;ATG_CAC_112.6;ATG_CAC_117.7;ATG_CAC_155.1;ATG_CAC_176.7;ATG_CAC_178.5;ATG_CAC_187.7;ATG_CAC_207.5;ATG_CAC_214.1;ATG_CAC_237.8;ATG_CAC_250.5;ATG_CAC_262.4;ATG_CAC_285.3;ATG_CAC_320.0;ATG_CAC_352.4;ATG_CAC_385.8;ATG_CAC_442.4;ATG_CAC_444.3;ATG_CAC_454.4;ATG_CAC_467.8
846-1;19.5394;48.9547;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0;0;1;0;1;1;1;1;1;0;1;1;0;0;0;1;0;1;0;1;0;0;1;1;1;1;1;0;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;0;1;1;1;1;1;1;0;0;1;1;0;0;0;0;0;0;1;0
846-2;19.5394;48.9547;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0;0;0;0;1;1;1;1;1;0;1;1;0;0;1;1;0;1;0;1;0;0;0;1;0;1;1;0;0;1;0;0;1;1;0;0;1;1;0;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;0;1;1;1;1;1;1;0;0;1;1;0;0;0;0;0;0;1;0
846-4;19.5394;48.9547;1;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;1;1;1;0;1;0;1;0;0;0;0;0;1;1;1;1;1;0;1;1;0;1;1;1;0;0;0;1;0;0;1;1;1;1;1;0;1;1;0;0;1;0;0;0;1;1;0;1;0;0;1;1;1;1;1;1;0;1;0;1;1;1;0;0;0;0;0;1;0;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0
C61-1;24.5569;48.1197;0;0;0;1;1;1;0;1;0;1;1;0;0;0;0;1;1;1;1;0;1;0;1;0;0;0;1;0;1;1;1;1;1;0;0;0;1;1;1;1;0;1;0;1;1;0;0;1;1;1;1;1;0;0;0;0;1;0;0;0;1;1;0;1;0;0;1;1;1;0;1;1;0;0;0;1;1;0;1;0;1;0;0;1;1;1;0;1;1;1;0;1;1;0;1;0;0;1;1;0;0
C61-2;24.5569;48.1197;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;1;0;1;0;1;1;1;0;0;0;0;1;1;0;0;1;0;1;1;0;1;1;1;1;1;1;1;1;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;1;1;0;0;1;1;1;0;1;0;1;0;1;0;0;1;0;1;1;1;0;1;1;0;0;0;0;1;1;0;0
C61-4A;24.5569;48.1197;0;0;0;1;0;1;0;1;1;1;1;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1;1;1;0;1;1;0;0;1;1;1;0;0;1;0;1;1;0;1;1;1;1;1;1;0;1;0;0;1;0;0;0;1;1;1;1;1;1;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;1;1;0;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;1;0
F61-1;24.6273;47.5774;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;1;1;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;1;1;1;0;1;0;0;1;0;0;0;1;1;1;1;0;0;1;1;1;0;1;1;0;0;0;1;0;1;0;1;0;1;1;0;1;1;0;1;1;1;0;1;1;0;0;0;1;1;0;0;1
F61-2;24.6273;47.5774;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;1;1;1;1;0;1;0;1;1;1;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;0;0;1;1;1;0;1;1;0;0;0;1;0;0;0;1;0;1;1;0;1;1;0;1;1;1;0;0;1;0;0;0;1;1;0;0;1
F61-4;24.6273;47.5774;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;1;0;1;1;1;1;1;0;1;1;1;1;1;0;0;0;1;1;0;0;0;1;1;1;1;1;0;1;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;0;1;1;0;1;1;1;0;0;1;0;0;0;1;1;0;0;1
F62-1;24.877;47.5283;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;1;0;1;0;1;1;1;1;1;0;1;0;1;1;1;0;0;0;1;1;1;0;1;1;1;1;1;1;0;1;0;0;1;0;1;1;0;0;1;1;1;0;1;1;1;0;1;1;0;1;0;1;1;0;1;0;1;1;1;0;1;1;1;1;1;1;0;0;1;0;1;0;0;1;1;0;1
